DATA INICIAL;DATA FINAL;ESTADO;MUNICÍPIO;PRODUTO;NÚMERO DE POSTOS PESQUISADOS;UNIDADE DE MEDIDA;PREÇO MÉDIO REVENDA;DESVIO PADRÃO REVENDA;PREÇO MÍNIMO REVENDA;PREÇO MÁXIMO REVENDA;COEF DE VARIAÇÃO REVENDA
2023-11-05;2023-11-11;SERGIPE;ARACAJU;ETANOL HIDRATADO;16;R$/l;4.65;0.06675514961409344;4.57;4.78;0.014
2023-11-05;2023-11-11;PARA;BELEM;ETANOL HIDRATADO;12;R$/l;4.22;0.4018366922926866;3.85;5.19;0.095
2023-11-05;2023-11-11;MINAS GERAIS;BELO HORIZONTE;ETANOL HIDRATADO;39;R$/l;3.36;0.10384575398533503;3.22;3.79;0.031
2023-11-05;2023-11-11;RORAIMA;BOA VISTA;ETANOL HIDRATADO;3;R$/l;4.88;0.02886751345948129;4.87;4.92;0.006
2023-11-05;2023-11-11;DISTRITO FEDERAL;BRASILIA;ETANOL HIDRATADO;45;R$/l;3.63;0.1320575326105706;3.47;3.99;0.036
2023-11-05;2023-11-11;MATO GROSSO DO SUL;CAMPO GRANDE;ETANOL HIDRATADO;14;R$/l;3.39;0.13821666380667041;3.28;3.79;0.041
2023-11-05;2023-11-11;MATO GROSSO;CUIABA;ETANOL HIDRATADO;17;R$/l;3.22;0.059846617674341664;3.07;3.29;0.019
2023-11-05;2023-11-11;PARANA;CURITIBA;ETANOL HIDRATADO;47;R$/l;3.96;0.03757324022663716;3.87;3.99;0.009
2023-11-05;2023-11-11;SANTA CATARINA;FLORIANOPOLIS;ETANOL HIDRATADO;11;R$/l;4.34;0.39754931083508943;3.89;4.99;0.092
2023-11-05;2023-11-11;CEARA;FORTALEZA;ETANOL HIDRATADO;46;R$/l;4.23;0.29128733096161935;3.95;4.99;0.069
2023-11-05;2023-11-11;GOIAS;GOIANIA;ETANOL HIDRATADO;41;R$/l;3.14;0.19212292812726733;2.98;3.95;0.061
2023-11-05;2023-11-11;PARAIBA;JOAO PESSOA;ETANOL HIDRATADO;19;R$/l;3.98;0.0384722881963671;3.95;4.09;0.01
2023-11-05;2023-11-11;ALAGOAS;MACEIO;ETANOL HIDRATADO;19;R$/l;4.12;0.22480140683416527;3.97;4.77;0.055
