class;drive;fuel_type;make;model;transmission;year;cylinders;displacement;city_km/l;highway_km/l
small station wagon;fwd;electricity;chevrolet;bolt ev;a;2017;;;54.41839455107482;46.76580781732993
small station wagon;fwd;electricity;chevrolet;bolt ev;a;2018;;;54.41839455107482;46.76580781732993
small station wagon;fwd;electricity;chevrolet;bolt ev;a;2019;;;54.41839455107482;46.76580781732993
small station wagon;fwd;electricity;chevrolet;bolt ev;a;2020;;;53.99325084364455;45.91552040246938
small station wagon;fwd;electricity;chevrolet;bolt ev;a;2021;;;53.99325084364455;45.91552040246938
sport utility vehicle;fwd;gas;chrysler;pacifica 2wd;a;2004;6.0;3.5;6.37715561145408;8.928017856035712
sport utility vehicle;awd;gas;chrysler;pacifica awd;a;2004;6.0;3.5;6.37715561145408;8.502874148605441
sport utility vehicle;fwd;gas;chrysler;pacifica 2wd;a;2005;6.0;3.5;6.37715561145408;8.928017856035712
sport utility vehicle;fwd;gas;chrysler;pacifica 2wd;a;2005;6.0;3.8;6.802299318884352;9.778305270896258
sport utility vehicle;awd;gas;chrysler;pacifica awd;a;2005;6.0;3.5;6.37715561145408;8.502874148605441
small station wagon;fwd;gas;honda;accord wagon;a;1993;4.0;2.2;7.652586733744897;10.203448978326529
small station wagon;fwd;gas;honda;accord wagon;m;1993;4.0;2.2;8.502874148605441;11.053736393187073
compact car;fwd;gas;honda;accord;a;1994;4.0;2.2;8.502874148605441;11.478880100617346
compact car;fwd;gas;honda;accord;a;1994;4.0;2.2;8.502874148605441;11.478880100617346
compact car;fwd;gas;honda;accord;m;1994;4.0;2.2;9.353161563465985;12.32916751547789
two seater;fwd;gas;honda;civic del sol;a;1994;4.0;1.5;10.628592685756802;14.029742345198978
two seater;fwd;gas;honda;civic del sol;m;1994;4.0;1.5;12.75431122290816;15.730317174920065
two seater;fwd;gas;honda;civic del sol;a;1994;4.0;1.6;9.778305270896258;12.75431122290816
two seater;fwd;gas;honda;civic del sol;m;1994;4.0;1.6;10.628592685756802;13.604598637768705
two seater;fwd;gas;honda;civic del sol;m;1994;4.0;1.6;9.778305270896258;11.904023808047617
sport utility vehicle;awd;gas;honda;pilot 4wd;a;2003;6.0;3.5;6.37715561145408;8.928017856035712
sport utility vehicle;awd;gas;honda;pilot 4wd;a;2004;6.0;3.5;6.37715561145408;8.928017856035712
sport utility vehicle;awd;gas;honda;pilot 4wd;a;2005;6.0;3.5;6.37715561145408;8.502874148605441
sport utility vehicle;fwd;gas;honda;pilot 2wd;a;2006;6.0;3.5;6.802299318884352;9.353161563465985
sport utility vehicle;awd;gas;honda;pilot 4wd;a;2006;6.0;3.5;6.37715561145408;8.502874148605441
midsize car;fwd;electricity;hyundai;ioniq electric;a;2017;;;63.77155611454081;51.86753230649319
large car;fwd;gas;hyundai;ioniq;a;2017;4.0;1.6;23.382903908664964;22.95776020123469
large car;fwd;gas;hyundai;ioniq blue;a;2017;4.0;1.6;24.233191323525503;25.083478738386052
large car;fwd;gas;hyundai;ioniq blue;a;2018;4.0;1.6;24.233191323525503;25.083478738386052
large car;fwd;gas;hyundai;ioniq;a;2018;4.0;1.6;23.382903908664964;22.95776020123469
small sport utility vehicle;fwd;gas;hyundai;kona fwd;a;2018;4.0;1.6;11.904023808047617;13.604598637768705
small sport utility vehicle;fwd;gas;hyundai;kona fwd;a;2018;4.0;2.0;11.478880100617346;14.029742345198978
