NOME_PRODUTO;VALOR;LINK_PRODUTO
Canivete Faca Butterfly Borboleta Afiado Cs Go;R$ 24,99;https://produto.mercadolivre.com.br/MLB-2781317764-canivete-faca-butterfly-borboleta-afiado-cs-go-_JM#position=14&search_layout=stack&type=item&tracking_id=1d8ff0ad-b040-414b-b77f-c55678aefc2d
Canivete Butterfly Inox Faca Sem Fio Sem Corte Para Treinos ;R$ 31,39;https://www.mercadolivre.com.br/canivete-butterfly-inox-faca-sem-fio-sem-corte-para-treinos/p/MLB23800917?pdp_filters=category:MLB277644#searchVariation=MLB23800917&position=1&search_layout=stack&type=product&tracking_id=1d8ff0ad-b040-414b-b77f-c55678aefc2d
Karambit Faca Afiada Tática Militar Fulltang Carambite;R$ 23,99;https://www.mercadolivre.com.br/karambit-faca-afiada-tatica-militar-fulltang-carambite/p/MLB22694798?pdp_filters=category:MLB277644#searchVariation=MLB22694798&position=2&search_layout=stack&type=product&tracking_id=1d8ff0ad-b040-414b-b77f-c55678aefc2d
Kit Faca Butterfly + Karambit Canivete Cs Go Multicolor Inox;R$ 78,19;https://produto.mercadolivre.com.br/MLB-2907367405-kit-faca-butterfly-karambit-canivete-cs-go-multicolor-inox-_JM#position=15&search_layout=stack&type=item&tracking_id=1d8ff0ad-b040-414b-b77f-c55678aefc2d
Canivete Faca Butterfly Borboleta Cs Go Afiado Cabo Vazado ;R$ 42,50;https://produto.mercadolivre.com.br/MLB-2035622340-canivete-faca-butterfly-borboleta-cs-go-afiado-cabo-vazado-_JM#position=16&search_layout=stack&type=item&tracking_id=1d8ff0ad-b040-414b-b77f-c55678aefc2d
Canivete Butterfly Faca Borboleta  Militar + Adaga Dog Tag;R$ 56,72;https://produto.mercadolivre.com.br/MLB-3100948196-canivete-butterfly-faca-borboleta-militar-adaga-dog-tag-_JM#position=17&search_layout=stack&type=item&tracking_id=1d8ff0ad-b040-414b-b77f-c55678aefc2d
Canivete Borboleta Butterfly Dragon Faca Balisong Manobras;R$ 33,90;https://www.mercadolivre.com.br/canivete-borboleta-butterfly-dragon-faca-balisong-manobras/p/MLB22295905?pdp_filters=category:MLB277644#searchVariation=MLB22295905&position=3&search_layout=stack&type=product&tracking_id=1d8ff0ad-b040-414b-b77f-c55678aefc2d
Faca Butterfly Canivete Tático Manobras Resistente Luxo;R$ 27,90;https://www.mercadolivre.com.br/faca-butterfly-canivete-tatico-manobras-resistente-luxo/p/MLB22780615?pdp_filters=category:MLB277644#searchVariation=MLB22780615&position=4&search_layout=stack&type=product&tracking_id=1d8ff0ad-b040-414b-b77f-c55678aefc2d
Canivete Faca Butterfly Borboleta Afiado Cs Go;R$ 24,99;https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=L%2FNGktTePWBYQcNJgaOQs6RTrLGg0JHQfgYilAKvojP4NJ46I%2FhKNxSPzFX5speOZ5d7Xuloimi92KORiDj9EMSBPMd1sfXA0bBM5F5AJitUOJk%2FjUdUgDcAxR7b5%2BJd4bqhRAT9D5aYe6xkuEroM4gFlPnqb4TlqOcwIjDEwWR%2FSsU6RcCtFz6pRVJkMMYHODMDdQMY6REBlRrVLJkxpY2F5DfuXS%2F%2B2lEAGmyF8pJ4kiAZp2v4hET7iqUAhoQBFW5kyUG6fqwpPb%2FY7CXwKq9zpO0F5Ynw2YIh80xf4rah06jBv4ixXzSDH%2FeKWQZGCHvMYml%2BE6uhSufYSB6Hgc30yhOlsiTOqTo4%2BxCb7SACVQqh3nR0oLyszUgfOa9IIFWlvaew%2Bt6l6DsaZYwXG8D%2FbREV7mdyka7McQGXXxqao%2FTvU5%2FfCFQZ6jVdG%2FBy%2Bw%2BcOySGMeLL1%2FzLEfxLZxz0wetujek0%2FzA3Ibpg2BstfNHD1Bnwydmwi8eoohSbNp%2B8ttwJIvPuh0xmcDMiLrN6MZjahJ4uxGnD5nHjL%2BeTI1NCPYGk96I5m9wxiaW7lyl3O%2FD6dqyTUtrJwHrujend196R51pOZK%2BSOo9z7Yh4%2FyNRPjaNGSl3HPVme%2FbrhhuAXE48ZQFWGpCCxO4GiBEwrxkExdAjE3%2Fs4PIJqLK2z0Oc5fWYNCuTlJN6pD%2B6&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2B16026%2Cmclics%2Fshow-pads-search-list%2B5146%2Cmclics%2Fbuybox-layout%2B24609%2Cmclics%2Fshow-pads-global%2B5176&rb=x
Faca Butterfly Canivete Tático Manobras Resistente Luxo;R$ 29,99;https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=atHpWSftBbTndPgI1YbD3eNiOddVbNrkdVOK5MtHOrhzJa1xkzxv9WCEaCVHbPAxgTMGm8daLoMKDDghtDKpN%2FXDaSZa6ZDXght67In%2BTqnqBv7Gcry%2B6VdUcHpfrE3%2FaIe16EmAW8%2BFx71oyxYoMY1sHAzwc008rvpmm51azMYJgA1MMs8X%2BO6IFEFpTv5WsdsuwCRcvSuHXqfu8XauO%2BE92F5M7HjkbZ9QMjBBmK53u73zemQMdKDNYt3LQIPoN%2BZ25s%2BlQLBezHESxmz7t4tSKLYM5v8GPy%2FLshG%2Fg8MxNeQHvB%2B1V%2Bc8jdSR9ppRMY5JTKNWdtlGwgMhuC65S431xMbH9nc3OkvVoeVwAmLb6vurWrgZYcqHY%2FCmGRkBiFSCAWWWMjyx2ZkShyA9l7BlDs9LQe6uZvaovt4gLO7az3w7CYwS1MWUuEGQA%2F2li%2FFBPX%2F%2F1WUSjB1JOiFqTtkBRql%2FoVXRPM22lpGrOXjIflIWBUV3kZFLUA8XzesutTaxZCL1PLY6bhulEvOf0Q41XQZr8G5dghc687Uzkhx3nvQQ8AcZl%2FGGrix2UWIQlpXodX%2F96TpG3fLxYzrLhRWD8aaholgm9lIdWtNIMr1hj7y2dq732ayDILjyfXV7nhbtHdZAOrIkkcEBSWLMfs2TIIXhjaWF0APGKSh5mRdRSUhjFpaxeL4sOjlZjlJ6u7%2FvLbVOoypI%2Bf5RCw%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2B16026%2Cmclics%2Fshow-pads-search-list%2B5146%2Cmclics%2Fbuybox-layout%2B24609%2Cmclics%2Fshow-pads-global%2B5176&rb=x
